building_type,cluster_id,fnum,total_pop,城市,策略,情景
1,6,6,64183.94123306397,上海市,定容,2040 RCP 8.5
1,7,5,327542.376695277,上海市,定容,2040 RCP 8.5
1,8,6,180673.70692436397,上海市,定容,2040 RCP 8.5
1,9,6,772519.2695455246,上海市,定容,2040 RCP 8.5
2,11,12,61444.28156819264,上海市,定容,2040 RCP 8.5
2,10,16,22915.958549933806,上海市,定容,2040 RCP 8.5
2,12,14,56323.42845692687,上海市,定容,2040 RCP 8.5
2,15,13,12985.469864602032,上海市,定容,2040 RCP 8.5
2,13,28,18469.273607503535,上海市,定容,2040 RCP 8.5
2,14,18,6269.304108760729,上海市,定容,2040 RCP 8.5
2,1,16,48103.78015312462,上海市,定容,2040 RCP 8.5
2,2,12,454.1672566461596,上海市,定容,2040 RCP 8.5
2,3,18,88652.62233894372,上海市,定容,2040 RCP 8.5
2,4,20,21566.07914109587,上海市,定容,2040 RCP 8.5
2,6,12,5915.350166147481,上海市,定容,2040 RCP 8.5
2,5,25,28125.70862878894,上海市,定容,2040 RCP 8.5
2,7,11,74222.05369160086,上海市,定容,2040 RCP 8.5
2,8,22,23671.68458968157,上海市,定容,2040 RCP 8.5
2,9,21,3589.1899487863975,上海市,定容,2040 RCP 8.5
0,10,3,20241.289628648145,上海市,定容,2060 RCP 2.6
0,11,3,44036.82752780615,上海市,定容,2060 RCP 2.6
0,12,3,30362.541611138062,上海市,定容,2060 RCP 2.6
0,13,2,49109.070176845285,上海市,定容,2060 RCP 2.6
0,14,3,4289.849574461844,上海市,定容,2060 RCP 2.6
0,1,3,13923.886817341323,上海市,定容,2060 RCP 2.6
0,15,3,7403.612055397106,上海市,定容,2060 RCP 2.6
0,2,1,13116.642183483495,上海市,定容,2060 RCP 2.6
0,3,3,10502.699795213526,上海市,定容,2060 RCP 2.6
0,5,2,21585.411638415022,上海市,定容,2060 RCP 2.6
0,4,3,10518.329190798344,上海市,定容,2060 RCP 2.6
0,6,3,29045.873126834373,上海市,定容,2060 RCP 2.6
0,7,3,10598.218670917471,上海市,定容,2060 RCP 2.6
0,8,3,12388.11468562243,上海市,定容,2060 RCP 2.6
0,9,3,19662.297873050422,上海市,定容,2060 RCP 2.6
1,10,6,331725.261282843,上海市,定容,2060 RCP 2.6
1,13,5,289869.40865602624,上海市,定容,2060 RCP 2.6
1,11,6,339046.42506497505,上海市,定容,2060 RCP 2.6
1,12,6,289585.14066308254,上海市,定容,2060 RCP 2.6
1,1,6,413512.5254783057,上海市,定容,2060 RCP 2.6
1,15,6,198512.33105550738,上海市,定容,2060 RCP 2.6
1,2,6,37271.3414003166,上海市,定容,2060 RCP 2.6
1,14,10,282327.88049007027,上海市,定容,2060 RCP 2.6
1,4,6,233759.11490528422,上海市,定容,2060 RCP 2.6
1,3,6,231921.6075221799,上海市,定容,2060 RCP 2.6
1,5,6,113824.6129499603,上海市,定容,2060 RCP 2.6
1,6,6,64183.94123306397,上海市,定容,2060 RCP 2.6
1,7,5,327542.376695277,上海市,定容,2060 RCP 2.6
1,8,6,180673.70692436397,上海市,定容,2060 RCP 2.6
1,9,6,772519.2695455246,上海市,定容,2060 RCP 2.6
2,11,12,61444.28156819264,上海市,定容,2060 RCP 2.6
2,10,16,22915.958549933806,上海市,定容,2060 RCP 2.6
2,12,14,56323.42845692687,上海市,定容,2060 RCP 2.6
2,15,13,12985.469864602032,上海市,定容,2060 RCP 2.6
2,14,18,6269.304108760729,上海市,定容,2060 RCP 2.6
2,13,28,18469.273607503535,上海市,定容,2060 RCP 2.6
2,1,16,48103.78015312462,上海市,定容,2060 RCP 2.6
2,2,12,454.1672566461596,上海市,定容,2060 RCP 2.6
2,3,18,88652.62233894372,上海市,定容,2060 RCP 2.6
2,6,12,5915.350166147481,上海市,定容,2060 RCP 2.6
2,4,20,21566.07914109587,上海市,定容,2060 RCP 2.6
2,5,25,28125.70862878894,上海市,定容,2060 RCP 2.6
2,7,11,74222.05369160086,上海市,定容,2060 RCP 2.6
2,9,21,3589.1899487863975,上海市,定容,2060 RCP 2.6
2,8,22,23671.68458968157,上海市,定容,2060 RCP 2.6
0,10,3,20241.289628648145,上海市,定容,2060 RCP 4.5
0,11,3,44036.82752780615,上海市,定容,2060 RCP 4.5
0,12,3,30362.541611138062,上海市,定容,2060 RCP 4.5
0,13,2,49109.070176845285,上海市,定容,2060 RCP 4.5
0,14,3,4289.849574461844,上海市,定容,2060 RCP 4.5
0,15,3,7403.612055397106,上海市,定容,2060 RCP 4.5
0,2,1,13116.642183483495,上海市,定容,2060 RCP 4.5
0,1,3,13923.886817341323,上海市,定容,2060 RCP 4.5
0,3,3,10502.699795213526,上海市,定容,2060 RCP 4.5
0,4,3,10518.329190798344,上海市,定容,2060 RCP 4.5
0,5,2,21585.411638415022,上海市,定容,2060 RCP 4.5
0,6,3,29045.873126834373,上海市,定容,2060 RCP 4.5
0,7,3,10598.218670917471,上海市,定容,2060 RCP 4.5
0,8,3,12388.11468562243,上海市,定容,2060 RCP 4.5
0,9,3,19662.297873050422,上海市,定容,2060 RCP 4.5
1,10,6,331725.261282843,上海市,定容,2060 RCP 4.5
1,11,6,339046.42506497505,上海市,定容,2060 RCP 4.5
1,12,6,289585.14066308254,上海市,定容,2060 RCP 4.5
1,13,5,289869.40865602624,上海市,定容,2060 RCP 4.5
1,15,6,198512.33105550738,上海市,定容,2060 RCP 4.5
1,1,6,413512.5254783057,上海市,定容,2060 RCP 4.5
1,2,6,37271.3414003166,上海市,定容,2060 RCP 4.5
1,14,10,282327.88049007027,上海市,定容,2060 RCP 4.5
1,3,6,231921.6075221799,上海市,定容,2060 RCP 4.5
1,5,6,113824.6129499603,上海市,定容,2060 RCP 4.5
1,4,6,233759.11490528422,上海市,定容,2060 RCP 4.5
1,6,6,64183.94123306397,上海市,定容,2060 RCP 4.5
1,7,5,327542.376695277,上海市,定容,2060 RCP 4.5
1,9,6,772519.2695455246,上海市,定容,2060 RCP 4.5
1,8,6,180673.70692436397,上海市,定容,2060 RCP 4.5
2,11,12,61444.28156819264,上海市,定容,2060 RCP 4.5
2,10,16,22915.958549933806,上海市,定容,2060 RCP 4.5
2,12,14,56323.42845692687,上海市,定容,2060 RCP 4.5
2,15,13,12985.469864602032,上海市,定容,2060 RCP 4.5
2,13,28,18469.273607503535,上海市,定容,2060 RCP 4.5
2,14,18,6269.304108760729,上海市,定容,2060 RCP 4.5
2,1,16,48103.78015312462,上海市,定容,2060 RCP 4.5
2,2,12,454.1672566461596,上海市,定容,2060 RCP 4.5
2,3,18,88652.62233894372,上海市,定容,2060 RCP 4.5
2,4,20,21566.07914109587,上海市,定容,2060 RCP 4.5
2,6,12,5915.350166147481,上海市,定容,2060 RCP 4.5
2,5,25,28125.70862878894,上海市,定容,2060 RCP 4.5
2,7,11,74222.05369160086,上海市,定容,2060 RCP 4.5
2,8,22,23671.68458968157,上海市,定容,2060 RCP 4.5
2,9,21,3589.1899487863975,上海市,定容,2060 RCP 4.5
0,10,3,20241.289628648145,上海市,定容,2060 RCP 8.5
0,11,3,44036.82752780615,上海市,定容,2060 RCP 8.5
0,12,3,30362.541611138062,上海市,定容,2060 RCP 8.5
0,13,2,49109.070176845285,上海市,定容,2060 RCP 8.5
0,14,3,4289.849574461844,上海市,定容,2060 RCP 8.5
0,15,3,7403.612055397106,上海市,定容,2060 RCP 8.5
0,2,1,13116.642183483495,上海市,定容,2060 RCP 8.5
0,1,3,13923.886817341323,上海市,定容,2060 RCP 8.5
0,3,3,10502.699795213526,上海市,定容,2060 RCP 8.5
0,4,3,10518.329190798344,上海市,定容,2060 RCP 8.5
0,5,2,21585.411638415022,上海市,定容,2060 RCP 8.5
0,6,3,29045.873126834373,上海市,定容,2060 RCP 8.5
0,7,3,10598.218670917471,上海市,定容,2060 RCP 8.5
0,8,3,12388.11468562243,上海市,定容,2060 RCP 8.5
0,9,3,19662.297873050422,上海市,定容,2060 RCP 8.5
1,10,6,331725.261282843,上海市,定容,2060 RCP 8.5
1,13,5,289869.40865602624,上海市,定容,2060 RCP 8.5
1,11,6,339046.42506497505,上海市,定容,2060 RCP 8.5
1,12,6,289585.14066308254,上海市,定容,2060 RCP 8.5
1,15,6,198512.33105550738,上海市,定容,2060 RCP 8.5
1,1,6,413512.5254783057,上海市,定容,2060 RCP 8.5
1,2,6,37271.3414003166,上海市,定容,2060 RCP 8.5
1,14,10,282327.88049007027,上海市,定容,2060 RCP 8.5
1,3,6,231921.6075221799,上海市,定容,2060 RCP 8.5
1,4,6,233759.11490528422,上海市,定容,2060 RCP 8.5
1,5,6,113824.6129499603,上海市,定容,2060 RCP 8.5
1,6,6,64183.94123306397,上海市,定容,2060 RCP 8.5
1,7,5,327542.376695277,上海市,定容,2060 RCP 8.5
1,8,6,180673.70692436397,上海市,定容,2060 RCP 8.5
1,9,6,772519.2695455246,上海市,定容,2060 RCP 8.5
2,11,12,61444.28156819264,上海市,定容,2060 RCP 8.5
2,10,16,22915.958549933806,上海市,定容,2060 RCP 8.5
2,12,14,56323.42845692687,上海市,定容,2060 RCP 8.5
2,15,13,12985.469864602032,上海市,定容,2060 RCP 8.5
2,13,28,18469.273607503535,上海市,定容,2060 RCP 8.5
2,14,18,6269.304108760729,上海市,定容,2060 RCP 8.5
2,1,16,48103.78015312462,上海市,定容,2060 RCP 8.5
2,2,12,454.1672566461596,上海市,定容,2060 RCP 8.5
2,3,18,88652.62233894372,上海市,定容,2060 RCP 8.5
2,4,20,21566.07914109587,上海市,定容,2060 RCP 8.5
2,6,12,5915.350166147481,上海市,定容,2060 RCP 8.5
2,5,25,28125.70862878894,上海市,定容,2060 RCP 8.5
2,7,11,74222.05369160086,上海市,定容,2060 RCP 8.5
2,8,22,23671.68458968157,上海市,定容,2060 RCP 8.5
2,9,21,3589.1899487863975,上海市,定容,2060 RCP 8.5
0,11,3,2445.3922407747,广州市,现状,2020 Baseline
0,10,3,13794.630696951699,广州市,现状,2020 Baseline
0,1,3,19541.6079597497,广州市,现状,2020 Baseline
0,3,2,10776.07726387,广州市,现状,2020 Baseline
0,2,3,29192.393664453,广州市,现状,2020 Baseline
0,6,1,10251.682565705,广州市,现状,2020 Baseline
0,4,3,7790.5596635961,广州市,现状,2020 Baseline
0,7,1,29556.348116608,广州市,现状,2020 Baseline
0,5,3,9091.99430758,广州市,现状,2020 Baseline
0,9,1,5066.787972128,广州市,现状,2020 Baseline
1,12,4,6898.276858317,广州市,现状,2020 Baseline
1,10,5,180439.107030319,广州市,现状,2020 Baseline
1,1,5,56178.483976385,广州市,现状,2020 Baseline
1,11,8,181135.356637896,广州市,现状,2020 Baseline
1,3,6,92186.472440843,广州市,现状,2020 Baseline
1,4,6,130003.342979491,广州市,现状,2020 Baseline
1,2,10,104016.403430367,广州市,现状,2020 Baseline
1,5,6,108815.356347886,广州市,现状,2020 Baseline
1,6,6,14604.0692170357,广州市,现状,2020 Baseline
1,7,8,58531.708899177,广州市,现状,2020 Baseline
1,9,8,20745.539912341,广州市,现状,2020 Baseline
1,8,10,186722.571625991,广州市,现状,2020 Baseline
2,10,12,52762.25083608,广州市,现状,2020 Baseline
2,11,16,40889.493109342,广州市,现状,2020 Baseline
2,12,22,742.7819476,广州市,现状,2020 Baseline
2,2,20,3748.296426,广州市,现状,2020 Baseline
2,3,15,25168.87176685,广州市,现状,2020 Baseline
2,1,28,980.573108168,广州市,现状,2020 Baseline
2,4,12,28257.225913259,广州市,现状,2020 Baseline
2,5,15,7544.869455066,广州市,现状,2020 Baseline
2,6,15,17248.727595223998,广州市,现状,2020 Baseline
2,7,20,3599.96718813,广州市,现状,2020 Baseline
2,8,28,17141.712327834,广州市,现状,2020 Baseline
2,9,24,4655.9978518,广州市,现状,2020 Baseline
0,10,3,13794.630696951699,广州市,扩容,2040 RCP 2.6
0,11,3,2445.3922407747,广州市,扩容,2040 RCP 2.6
0,1,3,19541.6079597497,广州市,扩容,2040 RCP 2.6
0,2,3,29192.393664453,广州市,扩容,2040 RCP 2.6
0,3,2,10776.07726387,广州市,扩容,2040 RCP 2.6
0,6,1,10251.682565705,广州市,扩容,2040 RCP 2.6
0,4,3,7790.5596635961,广州市,扩容,2040 RCP 2.6
0,5,3,9091.99430758,广州市,扩容,2040 RCP 2.6
0,7,1,29556.348116608,广州市,扩容,2040 RCP 2.6
0,9,1,5066.787972128,广州市,扩容,2040 RCP 2.6
1,10,5,180439.107030319,广州市,扩容,2040 RCP 2.6
1,12,4,6898.276858317,广州市,扩容,2040 RCP 2.6
1,11,8,181135.356637896,广州市,扩容,2040 RCP 2.6
1,1,5,56178.483976385,广州市,扩容,2040 RCP 2.6
1,3,6,92186.472440843,广州市,扩容,2040 RCP 2.6
1,4,6,130003.342979491,广州市,扩容,2040 RCP 2.6
1,2,10,104016.403430367,广州市,扩容,2040 RCP 2.6
1,5,6,108815.356347886,广州市,扩容,2040 RCP 2.6
1,6,6,14604.0692170357,广州市,扩容,2040 RCP 2.6
1,7,8,58531.708899177,广州市,扩容,2040 RCP 2.6
1,9,8,20745.539912341,广州市,扩容,2040 RCP 2.6
1,8,10,186722.571625991,广州市,扩容,2040 RCP 2.6
2,10,12,52762.25083608,广州市,扩容,2040 RCP 2.6
2,11,16,40889.493109342,广州市,扩容,2040 RCP 2.6
2,12,22,742.7819476,广州市,扩容,2040 RCP 2.6
2,2,20,3748.296426,广州市,扩容,2040 RCP 2.6
2,1,28,980.573108168,广州市,扩容,2040 RCP 2.6
2,3,15,25168.87176685,广州市,扩容,2040 RCP 2.6
2,4,12,28257.225913259,广州市,扩容,2040 RCP 2.6
2,5,15,7544.869455066,广州市,扩容,2040 RCP 2.6
2,6,15,17248.727595223998,广州市,扩容,2040 RCP 2.6
2,7,20,3599.96718813,广州市,扩容,2040 RCP 2.6
2,8,28,17141.712327834,广州市,扩容,2040 RCP 2.6
2,9,24,4655.9978518,广州市,扩容,2040 RCP 2.6
0,10,3,13794.630696951699,广州市,扩容,2040 RCP 4.5
0,11,3,2445.3922407747,广州市,扩容,2040 RCP 4.5
0,1,3,19541.6079597497,广州市,扩容,2040 RCP 4.5
0,3,2,10776.07726387,广州市,扩容,2040 RCP 4.5
0,2,3,29192.393664453,广州市,扩容,2040 RCP 4.5
0,5,3,9091.99430758,广州市,扩容,2040 RCP 4.5
0,4,3,7790.5596635961,广州市,扩容,2040 RCP 4.5
0,7,1,29556.348116608,广州市,扩容,2040 RCP 4.5
0,6,1,10251.682565705,广州市,扩容,2040 RCP 4.5
0,9,1,5066.787972128,广州市,扩容,2040 RCP 4.5
1,10,5,180439.107030319,广州市,扩容,2040 RCP 4.5
1,12,4,6898.276858317,广州市,扩容,2040 RCP 4.5
1,1,5,56178.483976385,广州市,扩容,2040 RCP 4.5
1,11,8,181135.356637896,广州市,扩容,2040 RCP 4.5
1,3,6,92186.472440843,广州市,扩容,2040 RCP 4.5
1,4,6,130003.342979491,广州市,扩容,2040 RCP 4.5
1,5,6,108815.356347886,广州市,扩容,2040 RCP 4.5
1,2,10,104016.403430367,广州市,扩容,2040 RCP 4.5
1,6,6,14604.0692170357,广州市,扩容,2040 RCP 4.5
1,7,8,58531.708899177,广州市,扩容,2040 RCP 4.5
1,9,8,20745.539912341,广州市,扩容,2040 RCP 4.5
1,8,10,186722.571625991,广州市,扩容,2040 RCP 4.5
2,10,12,52762.25083608,广州市,扩容,2040 RCP 4.5
2,11,16,40889.493109342,广州市,扩容,2040 RCP 4.5
2,12,22,742.7819476,广州市,扩容,2040 RCP 4.5
2,2,20,3748.296426,广州市,扩容,2040 RCP 4.5
2,1,28,980.573108168,广州市,扩容,2040 RCP 4.5
2,3,15,25168.87176685,广州市,扩容,2040 RCP 4.5
2,4,12,28257.225913259,广州市,扩容,2040 RCP 4.5
2,5,15,7544.869455066,广州市,扩容,2040 RCP 4.5
2,6,15,17248.727595223998,广州市,扩容,2040 RCP 4.5
2,7,20,3599.96718813,广州市,扩容,2040 RCP 4.5
2,8,28,17141.712327834,广州市,扩容,2040 RCP 4.5
2,9,24,4655.9978518,广州市,扩容,2040 RCP 4.5
0,10,3,13794.630696951699,广州市,扩容,2040 RCP 8.5
0,11,3,2445.3922407747,广州市,扩容,2040 RCP 8.5
0,1,3,19541.6079597497,广州市,扩容,2040 RCP 8.5
0,2,3,29192.393664453,广州市,扩容,2040 RCP 8.5
0,3,2,10776.07726387,广州市,扩容,2040 RCP 8.5
0,5,3,9091.99430758,广州市,扩容,2040 RCP 8.5
0,4,3,7790.5596635961,广州市,扩容,2040 RCP 8.5
0,7,1,29556.348116608,广州市,扩容,2040 RCP 8.5
0,6,1,10251.682565705,广州市,扩容,2040 RCP 8.5
0,9,1,5066.787972128,广州市,扩容,2040 RCP 8.5
1,10,5,180439.107030319,广州市,扩容,2040 RCP 8.5
1,12,4,6898.276858317,广州市,扩容,2040 RCP 8.5
1,1,5,56178.483976385,广州市,扩容,2040 RCP 8.5
1,11,8,181135.356637896,广州市,扩容,2040 RCP 8.5
1,3,6,92186.472440843,广州市,扩容,2040 RCP 8.5
1,4,6,130003.342979491,广州市,扩容,2040 RCP 8.5
1,5,6,108815.356347886,广州市,扩容,2040 RCP 8.5
1,2,10,104016.403430367,广州市,扩容,2040 RCP 8.5
1,6,6,14604.0692170357,广州市,扩容,2040 RCP 8.5
1,7,8,58531.708899177,广州市,扩容,2040 RCP 8.5
1,9,8,20745.539912341,广州市,扩容,2040 RCP 8.5
1,8,10,186722.571625991,广州市,扩容,2040 RCP 8.5
2,10,12,52762.25083608,广州市,扩容,2040 RCP 8.5
2,11,16,40889.493109342,广州市,扩容,2040 RCP 8.5
2,12,22,742.7819476,广州市,扩容,2040 RCP 8.5
2,2,20,3748.296426,广州市,扩容,2040 RCP 8.5
2,1,28,980.573108168,广州市,扩容,2040 RCP 8.5
2,3,15,25168.87176685,广州市,扩容,2040 RCP 8.5
2,4,12,28257.225913259,广州市,扩容,2040 RCP 8.5
2,5,15,7544.869455066,广州市,扩容,2040 RCP 8.5
2,6,15,17248.727595223998,广州市,扩容,2040 RCP 8.5
2,7,20,3599.96718813,广州市,扩容,2040 RCP 8.5
2,8,28,17141.712327834,广州市,扩容,2040 RCP 8.5
2,9,24,4655.9978518,广州市,扩容,2040 RCP 8.5
0,10,3,13794.630696951699,广州市,扩容,2060 RCP 2.6
0,11,3,2445.3922407747,广州市,扩容,2060 RCP 2.6
0,1,3,19541.6079597497,广州市,扩容,2060 RCP 2.6
0,3,2,10776.07726387,广州市,扩容,2060 RCP 2.6
0,2,3,29192.393664453,广州市,扩容,2060 RCP 2.6
0,4,3,7790.5596635961,广州市,扩容,2060 RCP 2.6
0,5,3,9091.99430758,广州市,扩容,2060 RCP 2.6
0,6,1,10251.682565705,广州市,扩容,2060 RCP 2.6
0,7,1,29556.348116608,广州市,扩容,2060 RCP 2.6
0,9,1,5066.787972128,广州市,扩容,2060 RCP 2.6
1,10,5,180439.107030319,广州市,扩容,2060 RCP 2.6
1,12,4,6898.276858317,广州市,扩容,2060 RCP 2.6
1,1,5,56178.483976385,广州市,扩容,2060 RCP 2.6
1,11,8,181135.356637896,广州市,扩容,2060 RCP 2.6
1,3,6,92186.472440843,广州市,扩容,2060 RCP 2.6
1,4,6,130003.342979491,广州市,扩容,2060 RCP 2.6
1,5,6,108815.356347886,广州市,扩容,2060 RCP 2.6
1,2,10,104016.403430367,广州市,扩容,2060 RCP 2.6
1,6,6,14604.0692170357,广州市,扩容,2060 RCP 2.6
1,7,8,58531.708899177,广州市,扩容,2060 RCP 2.6
1,8,10,186722.571625991,广州市,扩容,2060 RCP 2.6
1,9,8,20745.539912341,广州市,扩容,2060 RCP 2.6
2,10,12,52762.25083608,广州市,扩容,2060 RCP 2.6
2,11,16,40889.493109342,广州市,扩容,2060 RCP 2.6
2,12,22,742.7819476,广州市,扩容,2060 RCP 2.6
2,2,20,3748.296426,广州市,扩容,2060 RCP 2.6
2,1,28,980.573108168,广州市,扩容,2060 RCP 2.6
2,3,15,25168.87176685,广州市,扩容,2060 RCP 2.6
2,4,12,28257.225913259,广州市,扩容,2060 RCP 2.6
2,5,15,7544.869455066,广州市,扩容,2060 RCP 2.6
2,6,15,17248.727595223998,广州市,扩容,2060 RCP 2.6
2,7,20,3599.96718813,广州市,扩容,2060 RCP 2.6
2,8,28,17141.712327834,广州市,扩容,2060 RCP 2.6
2,9,24,4655.9978518,广州市,扩容,2060 RCP 2.6
0,10,3,13794.630696951699,广州市,扩容,2060 RCP 4.5
0,11,3,2445.3922407747,广州市,扩容,2060 RCP 4.5
0,1,3,19541.6079597497,广州市,扩容,2060 RCP 4.5
0,2,3,29192.393664453,广州市,扩容,2060 RCP 4.5
0,3,2,10776.07726387,广州市,扩容,2060 RCP 4.5
0,4,3,7790.5596635961,广州市,扩容,2060 RCP 4.5
0,6,1,10251.682565705,广州市,扩容,2060 RCP 4.5
0,5,3,9091.99430758,广州市,扩容,2060 RCP 4.5
0,7,1,29556.348116608,广州市,扩容,2060 RCP 4.5
0,9,1,5066.787972128,广州市,扩容,2060 RCP 4.5
1,12,4,6898.276858317,广州市,扩容,2060 RCP 4.5
1,10,5,180439.107030319,广州市,扩容,2060 RCP 4.5
1,1,5,56178.483976385,广州市,扩容,2060 RCP 4.5
1,11,8,181135.356637896,广州市,扩容,2060 RCP 4.5
1,3,6,92186.472440843,广州市,扩容,2060 RCP 4.5
1,4,6,130003.342979491,广州市,扩容,2060 RCP 4.5
1,2,10,104016.403430367,广州市,扩容,2060 RCP 4.5
1,5,6,108815.356347886,广州市,扩容,2060 RCP 4.5
1,6,6,14604.0692170357,广州市,扩容,2060 RCP 4.5
1,9,8,20745.539912341,广州市,扩容,2060 RCP 4.5
1,7,8,58531.708899177,广州市,扩容,2060 RCP 4.5
1,8,10,186722.571625991,广州市,扩容,2060 RCP 4.5
2,10,12,52762.25083608,广州市,扩容,2060 RCP 4.5
2,11,16,40889.493109342,广州市,扩容,2060 RCP 4.5
2,12,22,742.7819476,广州市,扩容,2060 RCP 4.5
2,2,20,3748.296426,广州市,扩容,2060 RCP 4.5
2,1,28,980.573108168,广州市,扩容,2060 RCP 4.5
2,3,15,25168.87176685,广州市,扩容,2060 RCP 4.5
2,4,12,28257.225913259,广州市,扩容,2060 RCP 4.5
2,5,15,7544.869455066,广州市,扩容,2060 RCP 4.5
2,6,15,17248.727595223998,广州市,扩容,2060 RCP 4.5
2,7,20,3599.96718813,广州市,扩容,2060 RCP 4.5
2,8,28,17141.712327834,广州市,扩容,2060 RCP 4.5
2,9,24,4655.9978518,广州市,扩容,2060 RCP 4.5
0,10,3,13794.630696951699,广州市,扩容,2060 RCP 8.5
0,11,3,2445.3922407747,广州市,扩容,2060 RCP 8.5
0,1,3,19541.6079597497,广州市,扩容,2060 RCP 8.5
0,2,3,29192.393664453,广州市,扩容,2060 RCP 8.5
0,3,2,10776.07726387,广州市,扩容,2060 RCP 8.5
0,4,3,7790.5596635961,广州市,扩容,2060 RCP 8.5
0,5,3,9091.99430758,广州市,扩容,2060 RCP 8.5
0,6,1,10251.682565705,广州市,扩容,2060 RCP 8.5
0,7,1,29556.348116608,广州市,扩容,2060 RCP 8.5
0,9,1,5066.787972128,广州市,扩容,2060 RCP 8.5
1,10,5,180439.107030319,广州市,扩容,2060 RCP 8.5
1,12,4,6898.276858317,广州市,扩容,2060 RCP 8.5
1,1,5,56178.483976385,广州市,扩容,2060 RCP 8.5
1,11,8,181135.356637896,广州市,扩容,2060 RCP 8.5
1,3,6,92186.472440843,广州市,扩容,2060 RCP 8.5
1,4,6,130003.342979491,广州市,扩容,2060 RCP 8.5
1,2,10,104016.403430367,广州市,扩容,2060 RCP 8.5
1,5,6,108815.356347886,广州市,扩容,2060 RCP 8.5
1,6,6,14604.0692170357,广州市,扩容,2060 RCP 8.5
1,7,8,58531.708899177,广州市,扩容,2060 RCP 8.5
1,9,8,20745.539912341,广州市,扩容,2060 RCP 8.5
1,8,10,186722.571625991,广州市,扩容,2060 RCP 8.5
2,10,12,52762.25083608,广州市,扩容,2060 RCP 8.5
2,11,16,40889.493109342,广州市,扩容,2060 RCP 8.5
2,12,22,742.7819476,广州市,扩容,2060 RCP 8.5
2,2,20,3748.296426,广州市,扩容,2060 RCP 8.5
2,1,28,980.573108168,广州市,扩容,2060 RCP 8.5
2,3,15,25168.87176685,广州市,扩容,2060 RCP 8.5
2,4,12,28257.225913259,广州市,扩容,2060 RCP 8.5
2,5,15,7544.869455066,广州市,扩容,2060 RCP 8.5
2,6,15,17248.727595223998,广州市,扩容,2060 RCP 8.5
2,7,20,3599.96718813,广州市,扩容,2060 RCP 8.5
2,8,28,17141.712327834,广州市,扩容,2060 RCP 8.5
2,9,24,4655.9978518,广州市,扩容,2060 RCP 8.5
0,10,3,13794.630696951699,广州市,定容,2040 RCP 2.6
0,11,3,2445.3922407747,广州市,定容,2040 RCP 2.6
0,1,3,19541.6079597497,广州市,定容,2040 RCP 2.6
0,2,3,29192.393664453,广州市,定容,2040 RCP 2.6
0,3,2,10776.07726387,广州市,定容,2040 RCP 2.6
0,4,3,7790.5596635961,广州市,定容,2040 RCP 2.6
0,6,1,10251.682565705,广州市,定容,2040 RCP 2.6
0,5,3,9091.99430758,广州市,定容,2040 RCP 2.6
0,9,1,5066.787972128,广州市,定容,2040 RCP 2.6
0,7,1,29556.348116608,广州市,定容,2040 RCP 2.6
1,10,5,180439.107030319,广州市,定容,2040 RCP 2.6
1,12,4,6898.276858317,广州市,定容,2040 RCP 2.6
1,1,5,56178.483976385,广州市,定容,2040 RCP 2.6
1,11,8,181135.356637896,广州市,定容,2040 RCP 2.6
1,3,6,92186.472440843,广州市,定容,2040 RCP 2.6
1,2,10,104016.403430367,广州市,定容,2040 RCP 2.6
1,4,6,130003.342979491,广州市,定容,2040 RCP 2.6
1,5,6,108815.356347886,广州市,定容,2040 RCP 2.6
1,6,6,14604.0692170357,广州市,定容,2040 RCP 2.6
1,7,8,58531.708899177,广州市,定容,2040 RCP 2.6
1,9,8,20745.539912341,广州市,定容,2040 RCP 2.6
1,8,10,186722.571625991,广州市,定容,2040 RCP 2.6
2,10,12,52762.25083608,广州市,定容,2040 RCP 2.6
2,11,16,40889.493109342,广州市,定容,2040 RCP 2.6
2,12,22,742.7819476,广州市,定容,2040 RCP 2.6
2,2,20,3748.296426,广州市,定容,2040 RCP 2.6
2,1,28,980.573108168,广州市,定容,2040 RCP 2.6
2,3,15,25168.87176685,广州市,定容,2040 RCP 2.6
2,4,12,28257.225913259,广州市,定容,2040 RCP 2.6
2,5,15,7544.869455066,广州市,定容,2040 RCP 2.6
2,6,15,17248.727595223998,广州市,定容,2040 RCP 2.6
2,7,20,3599.96718813,广州市,定容,2040 RCP 2.6
2,8,28,17141.712327834,广州市,定容,2040 RCP 2.6
2,9,24,4655.9978518,广州市,定容,2040 RCP 2.6
0,10,3,13794.630696951699,广州市,定容,2040 RCP 4.5
0,11,3,2445.3922407747,广州市,定容,2040 RCP 4.5
0,1,3,19541.6079597497,广州市,定容,2040 RCP 4.5
0,2,3,29192.393664453,广州市,定容,2040 RCP 4.5
0,3,2,10776.07726387,广州市,定容,2040 RCP 4.5
0,4,3,7790.5596635961,广州市,定容,2040 RCP 4.5
0,5,3,9091.99430758,广州市,定容,2040 RCP 4.5
0,6,1,10251.682565705,广州市,定容,2040 RCP 4.5
0,7,1,29556.348116608,广州市,定容,2040 RCP 4.5
0,9,1,5066.787972128,广州市,定容,2040 RCP 4.5
1,10,5,180439.107030319,广州市,定容,2040 RCP 4.5
1,12,4,6898.276858317,广州市,定容,2040 RCP 4.5
1,1,5,56178.483976385,广州市,定容,2040 RCP 4.5
1,11,8,181135.356637896,广州市,定容,2040 RCP 4.5
1,3,6,92186.472440843,广州市,定容,2040 RCP 4.5
